,PTJE_RANKING,PTJE_LYC,PTJE_MAT,VAI,BAP,Tut_20161,Tut_20162,Tasa_aprob_20161,Prom__20161,Tasa_aprob_20162,Prom__20162
PTJE_RANKING,1.0,-0.04938951215965607,-0.12530281852521202,0.06294467382519481,0.07708913445496021,0.11882111263583026,0.08829650587632569,-0.04059330382140541,0.005843613756927259,0.004158897265932717,0.0583383399807772
PTJE_LYC,-0.04938951215965607,1.0,0.44793884038325155,-0.315066584237486,-0.3012615972601922,-0.18717443173783752,-0.23958516979386663,0.2049137220342732,0.23629195018984986,0.1456852258492115,0.19885533924379467
PTJE_MAT,-0.12530281852521202,0.44793884038325155,1.0,-0.347631991259776,-0.3285998942960555,-0.1576348211931764,-0.1653506114954283,0.25381346008854144,0.2682770310625045,0.06932240936339584,0.08852587989801362
VAI,0.06294467382519481,-0.315066584237486,-0.347631991259776,1.0,0.8878824839105542,0.32591596881183543,0.20059745089833175,-0.15563103880475032,-0.14916880116798367,-0.11612455432314568,-0.11847548240800405
BAP,0.07708913445496021,-0.3012615972601922,-0.3285998942960555,0.8878824839105542,1.0,,0.3215873082491371,-0.12625526210800647,-0.1165718046922579,-0.10665045605421047,-0.10713559269225094
Tut_20161,0.11882111263583026,-0.18717443173783752,-0.1576348211931764,0.32591596881183543,,1.0,0.42500478125520075,0.17257537280273885,0.2231170369009165,0.008066641853838834,0.005626805244244856
Tut_20162,0.08829650587632569,-0.23958516979386663,-0.1653506114954283,0.20059745089833175,0.3215873082491371,0.42500478125520075,1.0,0.06158098189856221,0.07980310955333496,0.10892641468397281,0.12560247957230844
Tasa_aprob_20161,-0.04059330382140541,0.2049137220342732,0.25381346008854144,-0.15563103880475032,-0.12625526210800647,0.17257537280273885,0.06158098189856221,1.0,0.9196665772123791,0.5262695667382526,0.5488309021966085
Prom__20161,0.005843613756927259,0.23629195018984986,0.2682770310625045,-0.14916880116798367,-0.1165718046922579,0.2231170369009165,0.07980310955333496,0.9196665772123791,1.0,0.5805184964721962,0.6630521263764309
Tasa_aprob_20162,0.004158897265932717,0.1456852258492115,0.06932240936339584,-0.11612455432314568,-0.10665045605421047,0.008066641853838834,0.10892641468397281,0.5262695667382526,0.5805184964721962,1.0,0.9051949470463222
Prom__20162,0.0583383399807772,0.19885533924379467,0.08852587989801362,-0.11847548240800405,-0.10713559269225094,0.005626805244244856,0.12560247957230844,0.5488309021966085,0.6630521263764309,0.9051949470463222,1.0
