k,n,treated_share,grade_ate_lower,grade_ate_upper,grade_ate_midpoint,grade_ate_width,grade_obs_diff,pass_ate_lower,pass_ate_upper,pass_ate_midpoint,pass_ate_width,pass_obs_diff,joint_midpoint_score
2,411,0.9805352798053528,-2.742092457420924,3.5060827250608284,0.3819951338199523,6.248175182481752,0.8829080310880837,-0.32668578380257207,0.7146767466110532,0.19399548140424056,1.0413625304136254,0.21588638045891928,0.12883066852044964
3,411,0.9659367396593674,-2.7297810218978107,3.5183941605839415,0.3943065693430654,6.248175182481752,0.868150375939849,-0.329350596686363,0.7120119337272623,0.19133066852044966,1.0413625304136254,0.17450635517364854,0.12852421503881362
4,411,0.9416058394160584,-2.7093917274939185,3.5387834549878345,0.414695863746958,6.248175182481753,0.9337367547555218,-0.328655428107983,0.7127071023056424,0.1920258370988297,1.0413625304136254,0.1968234210574309,0.13057090719499467
5,411,0.9099756690997567,-2.7331873479318736,3.5149878345498777,0.3909002433090021,6.248175182481751,0.602530009233611,-0.34000984822152713,0.7013526821920981,0.1806714169852855,1.0413625304136254,0.13240507568762405,0.12291072876839293
6,411,0.8807785888077859,-2.697323600973235,3.5508515815085158,0.42676399026764034,6.24817518248175,0.7668402570728157,-0.3378084810566563,0.703554049356969,0.18287278415015634,1.0413625304136254,0.16904375412127337,0.12700005793071487
7,411,0.8564476885644768,-2.6734306569343076,3.5747445255474446,0.4506569343065685,6.248175182481752,0.830003873180988,-0.33804020391611644,0.7033223264975088,0.18264106129069618,1.0413625304136254,0.18416494744857492,0.12887527517089548
8,411,0.8175182481751825,-2.6581021897810215,3.5900729927007298,0.4659854014598541,6.248175182481751,0.8336367737278962,-0.34140018537828765,0.6999623450353377,0.17928107982852504,1.0413625304136254,0.19172058393909697,0.1284726567025837
9,411,0.7858880778588808,-2.6835523114355224,3.5646228710462284,0.440535279805353,6.24817518248175,0.72577295559574,-0.3547821805121075,0.6865803499015178,0.16589908469470516,1.0413625304136254,0.16242472516432738,0.11966081566446532
10,411,0.7396593673965937,-2.6943065693430666,3.553868613138685,0.4297810218978093,6.248175182481752,0.6899260647714249,-0.3691258255126868,0.6722367049009386,0.15155543969412588,1.0413625304136254,0.14971061457315749,0.11159280500521371
11,411,0.683698296836983,-2.734549878345498,3.513625304136254,0.3895377128953781,6.248175182481752,0.6048350766762325,-0.38644710925732817,0.6549154211562971,0.13423415594948446,1.0413625304136254,0.1389168426172036,0.09957855404935706
12,411,0.6326034063260341,-2.793430656934307,3.4547445255474454,0.3306569343065693,6.248175182481752,0.5060950325200935,-0.410198702351987,0.6311638280616383,0.11048256285482563,1.0413625304136254,0.11845425750180216,0.08279602595296026
